applicant_id,first_name,last_name,github_login,github_profile,resume_pdf,spec,career_stage,batch
applicant0039,Callum,Ibarra,abhyudaya001,data/githubs/profiles/applicant0039.json,data/resumes/rendered/applicant0039.pdf,data/resumes/specs/applicant0039.json,student,
applicant0040,Bianca,Solheim,omarbashaiwth,data/githubs/profiles/applicant0040.json,data/resumes/rendered/applicant0040.pdf,data/resumes/specs/applicant0040.json,switcher,
applicant0041,Owen,Castellan,stevensolleder,data/githubs/profiles/applicant0041.json,data/resumes/rendered/applicant0041.pdf,data/resumes/specs/applicant0041.json,student,
applicant0042,Layla,Fenwick,MatthewMer,data/githubs/profiles/applicant0042.json,data/resumes/rendered/applicant0042.pdf,data/resumes/specs/applicant0042.json,student,
applicant0046,Diego,Marchetti,sergiordg00,data/githubs/profiles/applicant0046.json,data/resumes/rendered/applicant0046.pdf,data/resumes/specs/applicant0046.json,student,
applicant0047,Sana,Whitfield,Doha467,data/githubs/profiles/applicant0047.json,data/resumes/rendered/applicant0047.pdf,data/resumes/specs/applicant0047.json,student,
applicant0048,Malik,Yeboah,Fadi-khattak,data/githubs/profiles/applicant0048.json,data/resumes/rendered/applicant0048.pdf,data/resumes/specs/applicant0048.json,student,
applicant0050,Renata,Koss,mogligit,data/githubs/profiles/applicant0050.json,data/resumes/rendered/applicant0050.pdf,data/resumes/specs/applicant0050.json,switcher,
applicant0052,Priyanka,Osei,shivamshashank,data/githubs/profiles/applicant0052.json,data/resumes/rendered/applicant0052.pdf,data/resumes/specs/applicant0052.json,student,
applicant0053,Marcus,Adeyemi,bcrow99,data/githubs/profiles/applicant0053.json,data/resumes/rendered/applicant0053.pdf,data/resumes/specs/applicant0053.json,student,
applicant0054,Owen,Baptiste,Shishir-Singh-666,data/githubs/profiles/applicant0054.json,data/resumes/rendered/applicant0054.pdf,data/resumes/specs/applicant0054.json,student,
applicant0055,Sana,Vermeulen,p-adic,data/githubs/profiles/applicant0055.json,data/resumes/rendered/applicant0055.pdf,data/resumes/specs/applicant0055.json,student,
applicant0056,Ishan,Corven,choiceoh,data/githubs/profiles/applicant0056.json,data/resumes/rendered/applicant0056.pdf,data/resumes/specs/applicant0056.json,new_grad,
applicant0057,Dahlia,Okoye,AURATAO,data/githubs/profiles/applicant0057.json,data/resumes/rendered/applicant0057.pdf,data/resumes/specs/applicant0057.json,student,
applicant0058,Finnian,Cross,715d,data/githubs/profiles/applicant0058.json,data/resumes/rendered/applicant0058.pdf,data/resumes/specs/applicant0058.json,student,
applicant0060,Talia,Bregman,Inazumimakoto,data/githubs/profiles/applicant0060.json,data/resumes/rendered/applicant0060.pdf,data/resumes/specs/applicant0060.json,switcher,
applicant0061,Nadia,Sorel,y0ussefmohamed,data/githubs/profiles/applicant0061.json,data/resumes/rendered/applicant0061.pdf,data/resumes/specs/applicant0061.json,intern,
